web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1578845686-1309,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Guillermo Moya,Todo,"Reviewed in the United States on August 11, 2019",Me encantó,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845688-1323,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DV AL,Love the size and sound.,"Reviewed in the United States on March 3, 2019",Good product easy to operate.,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1578845681-1296,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kristin Lanci,Awesome,"Reviewed in the United States on December 24, 2019",Great phone highly recommend,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
1578845678-1287,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Danielle Munno,Great phone and great size.,"Reviewed in the United States on March 11, 2019","I love the large screen, with so many great features and easy to navigate.  Love the teal color too. I have Cricket cell phone service and everything transferred over very easy.",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845678-1283,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hunter,Big phone with great capacity in storage,"Reviewed in the United States on March 28, 2019",Great phone. Super battery and easy connectivity with every nework.  Good photos... Look beautiful !!!,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845686-1312,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,dana,La durabilidad de la batería es muy buena,"Reviewed in the United States on April 2, 2019",Muy bueno,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845674-1265,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,jameika jackson,Great purchase!,"Reviewed in the United States on May 2, 2019",This hone was bought for my 9 year old sister. For the price it performs extremely well. Design is sleek and classy. Screen is big and bright. Speakers are quite loud.,5,,
1578845681-1292,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gerardo Pereyra,Excelente!,"Reviewed in the United States on August 12, 2019",Recibido con todos los accesorios.,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
1578845686-1313,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Enrique l.,??,"Reviewed in the United States on May 18, 2019",??,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845674-1267,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sanjay L.,One of the best smartphone I have purchased,"Reviewed in the United States on July 23, 2019","I have been using smartphones since BB days from 2000.
The display, battery life, camera, speed exceptionally good. Comparable to iPhone X, my kids have it.
Bluetooth works with my speaker system as well the car, flawlessly
Few things would have been nice like power connector not so smooth, sometimes I get SMS messages few minutes late.
But the price is absolutely unbeatable. Display is like a white paper ( Kindle like)",5,,
1578845676-1273,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Marcia W,In love,"Reviewed in the United States on April 20, 2019",I am in love with this phone. Battery lasts forever.,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845683-1301,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Robert Hernandez,Think twice spending money on these type of phones.,"Reviewed in the United States on October 25, 2019","One of the phones does not work, does not get signal , and the camera does not work.",1,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845690-1331,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,...,"Reviewed in the United States on September 5, 2019",Exelente teléfono!,4,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews
1578845676-1270,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Prakit Trakulwatanachai,Good but not the best,"Reviewed in the United States on November 8, 2019","The operating system seems to work fast and fairly well.  The only drawback is the battery life.  If everything is turned on, the battery will run down pretty fast.  I saw one guy on the web testing the battery life with the clock on this model.  It's unbelievable.",3,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845690-1333,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Andrew Sinclair,Buen teléfono,"Reviewed in the United States on March 21, 2019","Tengo que confesar que me equivoque comprado este móvil, ya que yo quería la versión plus, pero ha salido muy bueno.",4,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews
1578845688-1327,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Bryam Vargas,It’s not scam,"Reviewed in the United States on July 21, 2019",Great phone! I was worried about getting a phone on amazon but it was a great experience,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1578845678-1278,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,JOHN CARRERO,Excelente aplicaciones,"Reviewed in the United States on January 31, 2019",Me gusto mucho el teléfono,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845678-1285,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,GolfnNut,"Fast, great pics, sound quality.","Reviewed in the United States on February 20, 2019",Phone is fast. No glitches. Takes great pics! Sound quality is great. I would recommend this phone.,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845674-1258,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Carolina,We got 4g with cricket wireless who uses att towers.,"Reviewed in the United States on March 4, 2019","We've had it for a few days and so far this is a great phone with an awesome screen and features, runs fast, looks nice, works with our network and you can't beat the price.
The phone is completely worth it the only thing I'm not completely in love with is the camera, is not bad it takes pretty good pictures but previously owned a zte axon 7 and the quality is lower on the Huawei Y9 which we don't mind honestly since this Huawei is not as expensive as the axon it is expected. But for the price is definitely a must buy we were weary of buying it because we saw a couple reviews and answers saying it might only take 2g or 3g but it received a 4g signal and everything works smoothly, we are currently using Cricket Wireless as our service provider. We had only purchased one phone to check if we like it and if it worked with Cricket and now we're ready to make another purchase because we loved it.",4,,
1578845681-1291,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jason s.,One word,"Reviewed in the United States on March 25, 2019",Spectacular,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
1578845683-1299,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Zie  Zulu,Slick,"Reviewed in the United States on January 2, 2020",Response time is awesome,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845676-1272,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jasmine,"Excellent Phone value of $1,000 or more","Reviewed in the United States on June 23, 2019","Excellent phone. it is value of $1,000 or more. the best phone in the market of 2019. Great battery life.
after register for SIM Card is 4G LTE very fast, very responding, very smooth, every thing is excellent.  I love it.",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845676-1277,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ariel z,Descripción del producto,"Reviewed in the United States on February 20, 2019",Excelente teléfono. Muy bonito. Muy cónforme con el producto,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845683-1304,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anthony,Great phone,"Reviewed in the United States on October 26, 2019","Good budget phone, work,s great, camera OK, bang for the bucks",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845683-1307,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,soul,Best purchase,"Reviewed in the United States on June 19, 2019",Awesome phone.,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845676-1275,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,maj1913,Better than a $800 phone,"Reviewed in the United States on June 18, 2019",Love this phone. Battery life is incredible and storage is so much better than my last phone. Can't find a better phone for the price!,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845686-1315,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sayayin,"El tamaño del sansumg note 9, pero con nocth","Reviewed in the United States on November 10, 2018",Muy buen teléfono la batería dura todo el día y más.... El. Problema es el tamaño no. Lo recomiendo para personas con manos pekeñas el telefono muy grande tiende a caerse.... Es una maravilla me ha impresionado la Camara,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845690-1330,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jhonnatan,Calidad,"Reviewed in the United States on May 19, 2019",Excelente !! Entrega de 1 día y llego antes de la hora pautada! Muy recomendado,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews
1578845686-1316,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Achilles Ray,"Performs like a $1,000 flagship at a quarter of the price.","Reviewed in the United States on December 27, 2018","Great phone for the money, can’t beat it.",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845686-1308,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hc,New condition,"Reviewed in the United States on December 31, 2019",Large screen,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845688-1320,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,GABRIEL__1978,Excelente,"Reviewed in the United States on January 7, 2019",Excelente equipó una bestia,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1578845681-1288,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ramiro,Buena gama media,"Reviewed in the United States on December 4, 2019",Para el precio esta bastante  bien,4,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
1578845683-1298,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Katy,Good for a person who loves taking pics,"Reviewed in the United States on June 20, 2019",I just love my new phone... I just can't wait to show it to my friends and I love all the features,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845688-1322,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Michael D. Rodriguez,Android cell phone,"Reviewed in the United States on January 6, 2020","Excellent product, fast service. The cell phone is very fast, plenty of  storage.",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1578845678-1286,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tomas Hernandez,Ermosos celular muy Rapido,"Reviewed in the United States on January 7, 2019",huawei y9 2019 en problemas nome esta trabajado adios huawei esta como bloquedo todo YouTube pley store notrabaja,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845683-1305,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Darnell,Only goes to 4g. Lte supported in other country. No update to Android 9 as of yet.,"Reviewed in the United States on August 27, 2019",Great phone. Blows everything else out the water for the price.,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845674-1266,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Justin,Amazing,"Reviewed in the United States on March 1, 2019",Perfect! Quality of the thousand dollar phones for way less.,5,,
1578845683-1302,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,yosanly,Yosycor,"Reviewed in the United States on September 21, 2019",Very good celular by the cost. The camera could be better but is enough good.,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845690-1329,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ingris,It's not unlocked,"Reviewed in the United States on May 30, 2019",Intenté poner una sin car de Straight talk y que triste saber que no funciona.  Aquí dentro de estados unidos.  Debería tener más información,1,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews
1578845674-1261,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Great Phone!,"Reviewed in the United States on March 3, 2019","At this price point, you can't go wrong. This is a quality phone without doubt. Large screen with good color saturation and clarity. Good sound. A plethora of native settings to tweak the phone to suit your visual and  performance needs. This is a not a Samsung Note 10! But for the features and performance at a little over $200, this ""beats the brakes off"" a phone that cost $600 more.",4,,
1578845686-1317,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Francesco L,Lo recomiendo,"Reviewed in the United States on April 25, 2019","Lo compre para mi esposa, ella quedo encantada con el telefono.
Es muy rapido no laguea, mi esposa tenia un P10 y me dice que no hay diferencia en velocidad con este. Las fotos si no son tan buenas como las del P10 pero tampoco estan tan mala. La duraccion de la bateria es excelente ella termina el dia con aun 40%",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845688-1319,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mas N,"Excellent phone, excellent price","Reviewed in the United States on February 4, 2019","Beautiful phone, very responsive, large screen, have not really had time to test the camera but it should be more than adequate. It's only been several days but very happy with the purchase",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1578845676-1269,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Dennis,Works great,"Reviewed in the United States on June 6, 2019","Product was delivered precisely as described. The box was sealed after a fast delivery. After unboxing I was able to configure the language of the phone to my own language. Camera is pretty great and I can play smoothly games without lag. A micro simcard does not fit so I had to use a nano simcard. Now I can enjoy 3G, 4G and 4G+ in my country. Also a 3.5mm audio jack is great so I can listen to my favourite music.",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845674-1260,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nina Q-k,Alternative to the Honor 8x,"Reviewed in the United States on November 27, 2018","Closest phone to the Honor 8x which isn't released in the US.  The screen is huge, very bright.  The design is beautiful with blue backing, though which it was glass like the 8x. The phone is fast and snappy though ram management is aggressive and you will be reloading apps.  The battery life is phenomenal, lasts 2 days sometimes.  People tell me at times they call me but I did not receive call, if it wasn't for that I would give 5 stars.",4,,
1578845688-1326,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,David,excellent camera,"Reviewed in the United States on June 2, 2019",very nice phone,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1578845678-1284,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,David Platte,Cell phone,"Reviewed in the United States on March 22, 2019","Phone is amazing thus far.  Set up was kind of difficult, but afterwards best phone I have had to date.",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845678-1280,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Daurys Wanders Cabrera,Maravilloso,"Reviewed in the United States on October 23, 2019",Muy buen teléfono,5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845681-1297,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kathia F. Ramos,I was afraid but did not repentance,"Reviewed in the United States on December 7, 2019","It was simply the best, it was unlocked to work in Honduras and everything is perfect.",5,Next page?,https://www.amazon.com/JKM-LX3-HiSilicon-Fingerprint-Glonass-Warranty/product-reviews/B07JNKYBZ4/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
